File_ID,Tumor,Num_FP,FP_ID,Centroid,R_Pixel,R_MM
FELIX1000_VENOUS,kidney_tumor,3,1,"(390.2778409090909, 328.16477272727275, 206.98238636363635)",10.802271896556446,6.136201244717852
FELIX1000_VENOUS,kidney_tumor,3,2,"(387.0, 313.0, 205.5)",4.689555850780632,2.6638894784630667
FELIX1000_VENOUS,kidney_tumor,3,3,"(394.5, 339.11764705882354, 190.76470588235293)",5.266890276729509,2.991842732838685
FELIX1000_VENOUS,liver_tumor,1,1,"(218.56080114449213, 151.95422031473532, 254.53648068669528)",7.940294438719004,4.510462714220868
FELIX1000_VENOUS,pancreas_tumor,1,1,"(401.04642409033875, 306.5144291091593, 215.13048933500627)",13.167914138216943,7.479997902202627
FELIX1001_ARTERIAL,liver_tumor,4,1,"(119.77272727272727, 261.22727272727275, 743.3181818181819)",3.979590992379178,2.506806701314201
FELIX1001_ARTERIAL,liver_tumor,4,2,"(153.9640287769784, 259.07553956834533, 802.8992805755396)",8.421696093420497,5.304958284367986
FELIX1001_ARTERIAL,liver_tumor,4,3,"(154.22093023255815, 200.6046511627907, 813.0348837209302)",7.898422500875398,4.975340052010748
FELIX1001_ARTERIAL,liver_tumor,4,4,"(179.74172185430464, 227.43708609271522, 845.6622516556291)",8.14691525977444,5.131869533163222
FELIX1002_ARTERIAL,colon_tumor,1,1,"(216.38795986622074, 191.74515050167224, 400.25016722408026)",10.230368546825272,6.131887218125914
FELIX1002_ARTERIAL,liver_tumor,1,1,"(224.76719576719577, 205.93650793650792, 908.6507936507936)",5.134499901516753,3.07752102707479
FELIX1002_VENOUS,colon_tumor,1,1,"(426.9542682926829, 215.07926829268294, 142.40853658536585)",7.774017159882491,4.815469753108505
FELIX1003_VENOUS,liver_tumor,2,1,"(108.85249196141478, 293.9497588424437, 240.2483922829582)",15.27464078516983,10.197939478620023
FELIX1003_VENOUS,liver_tumor,2,2,"(208.1086956521739, 209.93478260869566, 328.30434782608694)",5.08881687589421,3.397490471169361
FELIX1004_ARTERIAL,liver_tumor,5,1,"(115.89696969696969, 249.15757575757576, 257.4)",6.182757245960879,3.844245587954666
FELIX1004_ARTERIAL,liver_tumor,5,2,"(120.94827586206897, 329.2931034482759, 288.41379310344826)",6.293186897548184,3.912907300521693
FELIX1004_ARTERIAL,liver_tumor,5,3,"(126.47727272727273, 241.90495867768595, 303.97314049586777)",11.15097048056836,6.933325596657087
FELIX1004_ARTERIAL,liver_tumor,5,4,"(128.5703125, 323.578125, 326.7890625)",7.710292841628196,4.794019570739457
FELIX1004_ARTERIAL,liver_tumor,5,5,"(171.15384615384616, 238.42307692307693, 407.3076923076923)",7.645497401392213,4.753731787257503
FELIX1005_ARTERIAL,liver_tumor,4,1,"(97.4375, 226.1875, 341.8125)",4.509006607147306,2.902721038345047
FELIX1005_ARTERIAL,liver_tumor,4,2,"(227.5, 230.5, 498.0)",3.2515564208357337,2.093224085137709
FELIX1005_ARTERIAL,liver_tumor,4,3,"(243.15887850467288, 220.78348909657322, 489.39252336448595)",12.252063009197071,7.887396084883048
FELIX1005_ARTERIAL,liver_tumor,4,4,"(274.17427884615387, 166.19290865384616, 470.17247596153845)",18.129479011005422,11.671045248872304
FELIX1005_VENOUS,liver_tumor,2,1,"(106.15517241379311, 224.32758620689654, 315.51724137931035)",5.497605134632529,3.5894326825550493
FELIX1005_VENOUS,liver_tumor,2,2,"(277.63186813186815, 165.0934065934066, 464.67857142857144)",12.77638544472556,8.341809634766344
FELIX1007_ARTERIAL,liver_tumor,4,1,"(168.70332850940665, 245.09696092619393, 478.9797395079595)",9.96583202487397,6.820970345618133
FELIX1007_ARTERIAL,liver_tumor,4,2,"(168.35874439461884, 306.8968609865471, 430.0560538116592)",9.858925532876208,6.747799735291695
FELIX1007_ARTERIAL,liver_tumor,4,3,"(212.6605504587156, 229.75229357798165, 504.11009174311926)",6.784320841596252,4.643430790343098
FELIX1007_ARTERIAL,liver_tumor,4,4,"(222.4707412223667, 291.6436931079324, 484.07282184655395)",14.016610221916562,9.59346720185061
FELIX1007_VENOUS,liver_tumor,1,1,"(129.1443298969072, 315.3041237113402, 245.01030927835052)",5.179384170206792,3.544954976701133
FELIX1007_VENOUS,pancreas_tumor,1,1,"(233.91195551436516, 245.98609823911028, 289.1955514365153)",9.176661173411166,6.280833710561606
FELIX1008_ARTERIAL,liver_tumor,9,1,"(150.08133971291866, 182.92344497607655, 173.61244019138755)",5.309573582651799,3.2265055612468547
FELIX1008_ARTERIAL,liver_tumor,9,2,"(148.24183006535947, 265.87581699346407, 386.03921568627453)",6.029084313737928,3.663735658746839
FELIX1008_ARTERIAL,liver_tumor,9,3,"(164.8314606741573, 231.11048689138576, 330.35674157303373)",15.63836339597013,9.50307320926074
FELIX1008_ARTERIAL,liver_tumor,9,4,"(189.95529197080293, 171.22810218978103, 289.8257299270073)",16.76221795252241,10.18601373552001
FELIX1008_ARTERIAL,liver_tumor,9,5,"(197.85359801488835, 248.66749379652606, 424.4590570719603)",12.641887188430536,7.682183641149368
FELIX1008_ARTERIAL,liver_tumor,9,6,"(220.22222222222223, 189.3256704980843, 370.2413793103448)",11.43547950607621,6.94907748193439
FELIX1008_ARTERIAL,liver_tumor,9,7,"(278.47777777777776, 186.01666666666668, 405.55)",10.507898924466623,6.385408129117325
FELIX1008_ARTERIAL,liver_tumor,9,8,"(298.90162271805275, 172.36105476673427, 359.8052738336714)",19.18535560920929,11.65849867301327
FELIX1008_ARTERIAL,liver_tumor,9,9,"(282.5, 184.0, 393.0)",3.615698371650748,2.1971766135870863
FELIX1008_VENOUS,liver_tumor,2,1,"(86.38150289017341, 221.65317919075144, 258.0346820809249)",4.985318575978225,3.0294632628384184
FELIX1008_VENOUS,liver_tumor,2,2,"(141.04040404040404, 206.94949494949495, 120.02020202020202)",7.520955691905831,4.5703115303104624
FELIX1009_VENOUS,colon_tumor,2,1,"(142.59287054409006, 281.6641651031895, 228.42776735459663)",7.254151445637533,5.029376715333254
